Corpus,Threat Model,Defense Model,Metric,Higher is Better,Metric Type,Baseline Mean,Enhanced Mean,Mean Difference,Difference Std,95% CI Lower,95% CI Upper,P(Improvement),In ROPE,Conclusion
EBG,roberta,Ministral,entropy,True,Effectiveness,1.4918521042919248,1.5218840420485453,0.036062022949453695,0.13316215199392678,-0.21300403589595165,0.2888873990326927,0.607,0.2575,Inconclusive
EBG,roberta,Claude-3.5,entropy,True,Effectiveness,1.5510972237866645,2.867302771202306,1.2919622074186465,0.10870909644581972,1.0921556289176744,1.5005971164468686,1.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,roberta,GPT-4o,entropy,True,Effectiveness,1.5616027818066354,1.5669603493993944,-0.06248476564955757,0.0653009471678565,-0.19047115795147712,0.05470678742229144,0.17025,0.338,Inconclusive
EBG,roberta,Gemma-2,entropy,True,Effectiveness,1.5505301441619832,2.426758633778275,0.7616221195709932,0.13634758467245844,0.5192846430045451,1.03288756510803,1.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,roberta,Llama-3.1,pinc,True,Quality,0.9424447891343466,0.7552916643383938,-0.19156063386172606,0.006561705346759907,-0.20368727278727577,-0.1789213897794376,0.0,0.0,Significant Decrease (Enhanced < Baseline)
EBG,roberta,Ministral,pinc,True,Quality,0.9390689847836355,0.693060720412323,-0.24739787609058236,0.009680548966097423,-0.2653970249714876,-0.22903555279623666,0.0,0.0,Significant Decrease (Enhanced < Baseline)
EBG,roberta,Claude-3.5,pinc,True,Quality,0.86255784084813,0.8748924342293395,0.034281098199673954,0.0062860009595931115,0.02255329854724468,0.045712905000210025,1.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,roberta,GPT-4o,pinc,True,Quality,0.6788876577248851,0.6949699282670398,0.021682359011049257,0.005616670495023359,0.011209441480138194,0.03211858270586915,1.0,0.018625,Significant Increase (Enhanced > Baseline)
EBG,roberta,Gemma-2,pinc,True,Quality,0.943943135756397,0.8477493714696377,-0.08834583147642203,0.006353019466354397,-0.10041407246955006,-0.07650694794793933,0.0,0.0,Significant Decrease (Enhanced < Baseline)
EBG,roberta,Llama-3.1,bertscore,True,Quality,0.498759860197703,0.695297315120697,0.19013238776377614,0.006118730143051151,0.17832973653323958,0.20117744426974482,1.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,roberta,Ministral,bertscore,True,Quality,0.49002011855443317,0.7080218376053704,0.213747285060788,0.0077889942252794735,0.19865108913520207,0.22775485459514017,1.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,roberta,Claude-3.5,bertscore,True,Quality,0.6507168981764052,0.5856881107224359,-0.06762155563455136,0.003928518451242967,-0.07527883941295826,-0.06041926065607123,0.0,0.0,Significant Decrease (Enhanced < Baseline)
EBG,roberta,GPT-4o,bertscore,True,Quality,0.803244715001848,0.7773988111813863,-0.029110663376397592,0.003221697360518255,-0.03505596132951519,-0.023084116087626394,0.0,0.0,Significant Decrease (Enhanced < Baseline)
EBG,roberta,Gemma-2,bertscore,True,Quality,0.5017992471324073,0.6156210499339634,0.10539312849103383,0.007143579650516565,0.09229462160333785,0.11893051603993099,1.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,roberta,Llama-3.1,meteor,True,Quality,0.17602654653338512,0.3529343875504825,0.18351082534576107,0.0083624295815235,0.16717435555688354,0.19872735809067488,1.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,roberta,Ministral,meteor,True,Quality,0.15223938465529313,0.3241142570347386,0.18531724201381558,0.010624212535017183,0.16560720499795212,0.20512530624792025,1.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,roberta,Claude-3.5,meteor,True,Quality,0.20016083031958368,0.21272185416829487,-0.001056475597609018,0.005687304633637821,-0.01195804571160286,0.009449547864275543,0.433625,0.913375,Inconclusive
EBG,roberta,GPT-4o,meteor,True,Quality,0.46786209502015297,0.42615107589287365,-0.049559893053988856,0.006428326858486989,-0.062172907109881353,-0.03818508510932639,0.0,0.0,Significant Decrease (Enhanced < Baseline)
EBG,roberta,Gemma-2,meteor,True,Quality,0.179282514215978,0.20495949402249594,0.024225701175621773,0.008260268611657153,0.00860152142515963,0.03964806264509019,0.998125,0.042,Significant Increase (Enhanced > Baseline)
